aar,kommune_nr,kommune_navn,kjonn_kode,stonad,mottaker_antall
2022,1101,Eigersund,K,Dagpenger,103
2022,1101,Eigersund,K,Arbeidsavklaringspenger,222
2022,1106,Haugesund,K,Dagpenger,133
2022,1106,Haugesund,K,Arbeidsavklaringspenger,618
2022,1108,Sandnes,K,Dagpenger,423
2022,1108,Sandnes,K,Arbeidsavklaringspenger,1428
2022,1111,Sokndal,K,Dagpenger,10
2022,1111,Sokndal,K,Arbeidsavklaringspenger,37
2022,1112,Lund,K,Dagpenger,5
2022,1112,Lund,K,Arbeidsavklaringspenger,48
2022,1114,Bjerkreim,K,Dagpenger,11
2022,1114,Bjerkreim,K,Arbeidsavklaringspenger,52
2022,1119,Hå,K,Dagpenger,76
2022,1119,Hå,K,Arbeidsavklaringspenger,245
2022,1120,Klepp,K,Dagpenger,81
2022,1120,Klepp,K,Arbeidsavklaringspenger,348
2022,1121,Time,K,Dagpenger,60
2022,1121,Time,K,Arbeidsavklaringspenger,292
2022,1122,Gjesdal,K,Dagpenger,58
2022,1122,Gjesdal,K,Arbeidsavklaringspenger,216
2022,1124,Sola,K,Dagpenger,103
2022,1124,Sola,K,Arbeidsavklaringspenger,325
2022,1127,Randaberg,K,Dagpenger,34
2022,1127,Randaberg,K,Arbeidsavklaringspenger,191
2022,1130,Strand,K,Dagpenger,49
2022,1130,Strand,K,Arbeidsavklaringspenger,208
2022,1133,Hjelmeland,K,Dagpenger,5
2022,1133,Hjelmeland,K,Arbeidsavklaringspenger,22
2022,1134,Suldal,K,Dagpenger,6
2022,1134,Suldal,K,Arbeidsavklaringspenger,50
2022,1135,Sauda,K,Dagpenger,15
2022,1135,Sauda,K,Arbeidsavklaringspenger,62
2022,1145,Bokn,K,Arbeidsavklaringspenger,13
2022,1146,Tysvær,K,Dagpenger,26
2022,1146,Tysvær,K,Arbeidsavklaringspenger,176
2022,1149,Karmøy,K,Dagpenger,145
2022,1149,Karmøy,K,Arbeidsavklaringspenger,704
2022,1160,Vindafjord,K,Dagpenger,34
2022,1160,Vindafjord,K,Arbeidsavklaringspenger,100
2022,1505,Kristiansund,K,Dagpenger,81
2022,1505,Kristiansund,K,Arbeidsavklaringspenger,426
2022,1506,Molde,K,Dagpenger,117
2022,1506,Molde,K,Arbeidsavklaringspenger,446
2022,1507,Ålesund,K,Dagpenger,311
2022,1507,Ålesund,K,Arbeidsavklaringspenger,1156
2022,1511,Vanylven,K,Dagpenger,8
2022,1511,Vanylven,K,Arbeidsavklaringspenger,59
2022,1514,Sande,Kvinne,Dagpenger,11
2022,1514,Sande,K,Arbeidsavklaringspenger,26
2022,1515,Herøy (Møre og Romsdal),K,Dagpenger,67
2022,1515,Herøy (Møre og Romsdal),K,Arbeidsavklaringspenger,155
2022,1516,Ulstein,K,Dagpenger,57
2022,1516,Ulstein,K,Arbeidsavklaringspenger,137
2022,1517,Hareid,K,Dagpenger,38
2022,1517,Hareid,K,Arbeidsavklaringspenger,119
2022,1520,Ørsta,K,Dagpenger,25
2022,1520,Ørsta,K,Arbeidsavklaringspenger,179
2022,1525,Stranda,K,Dagpenger,12
2022,1525,Stranda,K,Arbeidsavklaringspenger,77
2022,1528,Sykkylven,K,Dagpenger,12
2022,1528,Sykkylven,K,Arbeidsavklaringspenger,124
2022,1531,Sula,K,Dagpenger,46
2022,1531,Sula,K,Arbeidsavklaringspenger,181
2022,1532,Giske,K,Dagpenger,39
2022,1532,Giske,K,Arbeidsavklaringspenger,151
2022,1535,Vestnes,K,Dagpenger,25
2022,1535,Vestnes,K,Arbeidsavklaringspenger,114
2022,1539,Rauma,K,Dagpenger,22
2022,1539,Rauma,K,Arbeidsavklaringspenger,133
2022,1547,Aukra,K,Dagpenger,9
2022,1547,Aukra,K,Arbeidsavklaringspenger,62
2022,1554,Averøy,K,Dagpenger,29
2022,1554,Averøy,K,Arbeidsavklaringspenger,115
2022,1557,Gjemnes,K,Dagpenger,5
2022,1557,Gjemnes,K,Arbeidsavklaringspenger,30
2022,1560,Tingvoll,K,Arbeidsavklaringspenger,37
2022,1563,Sunndal,K,Dagpenger,12
2022,1563,Sunndal,K,Arbeidsavklaringspenger,72
2022,1566,Surnadal,K,Dagpenger,10
2022,1566,Surnadal,K,Arbeidsavklaringspenger,86
2022,1573,Smøla,K,Dagpenger,10
2022,1573,Smøla,K,Arbeidsavklaringspenger,16
2022,1576,Aure,K,Dagpenger,9
2022,1576,Aure,K,Arbeidsavklaringspenger,60
2022,1577,Volda,K,Dagpenger,23
2022,1577,Volda,K,Arbeidsavklaringspenger,144
2022,1578,Fjord,K,Dagpenger,6
2022,1578,Fjord,K,Arbeidsavklaringspenger,35
2022,1579,Hustadvika,Kvinne,Dagpenger,57
2022,1579,Hustadvika,K,Arbeidsavklaringspenger,201
2022,1804,Bodø,K,Dagpenger,142
2022,1804,Bodø,K,Arbeidsavklaringspenger,790
2022,1806,Narvik,K,Dagpenger,44
2022,1806,Narvik,K,Arbeidsavklaringspenger,320
2022,1811,Bindal,K,Arbeidsavklaringspenger,20
2022,1812,Sømna,K,Arbeidsavklaringspenger,27
2022,1813,Brønnøy,K,Dagpenger,11
2022,1813,Brønnøy,K,Arbeidsavklaringspenger,141
2022,1815,Vega,K,Arbeidsavklaringspenger,16
2022,1816,Vevelstad,K,Arbeidsavklaringspenger,10
2022,1818,Herøy (Nordland),K,Dagpenger,7
2022,1818,Herøy (Nordland),K,Arbeidsavklaringspenger,27
2022,1820,Alstahaug,K,Dagpenger,13
2022,1820,Alstahaug,K,Arbeidsavklaringspenger,103
2022,1822,Leirfjord,K,Arbeidsavklaringspenger,32
2022,1824,Vefsn,K,Dagpenger,15
2022,1824,Vefsn,K,Arbeidsavklaringspenger,173
2022,1825,Grane,K,Arbeidsavklaringspenger,18
2022,1826,Aarborte - Hattfjelldal,K,Arbeidsavklaringspenger,20
2022,1827,Dønna,K,Arbeidsavklaringspenger,17
2022,1828,Nesna,K,Arbeidsavklaringspenger,29
2022,1832,Hemnes,K,Dagpenger,9
2022,1832,Hemnes,K,Arbeidsavklaringspenger,74
2022,1833,Rana,K,Dagpenger,67
2022,1833,Rana,K,Arbeidsavklaringspenger,439
2022,1834,Lurøy,K,Dagpenger,6
2022,1834,Lurøy,K,Arbeidsavklaringspenger,18
2022,1835,Træna,K,Dagpenger,12
2022,1835,Træna,K,Arbeidsavklaringspenger,6
2022,1836,Rødøy,K,Dagpenger,5
2022,1836,Rødøy,K,Arbeidsavklaringspenger,10
2022,1837,Meløy,K,Dagpenger,12
